"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"3","1967-03-13","Poludniowa Afryka","South African Airways","406","Vickers Viscount","ZS-CVA",25,0,""
"4","1967-04-20","Cypr","Globe Air","?","Bristol Britannia","HB-ITB",126,4,""
"5","1967-06-04","Wielka Brytania","BMI British Midland","?","Canadair C-4 Argonaut","G-ALHG",72,12,""
"6","1967-06-23","Stany Zjednoczone","Mohawk Airlines","40","BAC One-Eleven","N1116J",34,0,""
"7","1967-07-19","Stany Zjednoczone","Piedmont Airlines","22","Boeing 727-22","N68650",82,0,""
"8","1967-10-12","Grecja","Cyprus Airways","284","De Havilland Comet","G-ARCO",66,0,""
"9","1967-11-04","Wielka Brytania","Iberia","062","Sud Aviation Caravelle","EC-BDD",37,0,""
"10","1967-11-06","Stany Zjednoczone","TWA","159","Boeing 707","N742TW",1,35,""
"11","1967-11-20","Stany Zjednoczone","TWA","128","Convair 880","N821TW",70,12,""
"12","30 grudnia","Lotwa","Aeroflot","51","Antonow An-24B","CCCP-46215",44,7,"Katastrofa lotu Aeroflot 51"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","29 lutego","ZSRR","Aeroflot","15","Il-18","CCCP-74252",83,"1",""
"2","5 marca","Francja","Air France","212","Boeing 707-300","F-BLCJ",63,"0",""
"3","1968-03-24","Wielka Brytania","Aer Lingus","712","Vickers Viscount","EI-AOM",61,"0",""
"4","1968-04-08","Wielka Brytania","BOAC","712","Boeing 707-465","G-ARWE",5,"122","osobny artykul"
"5","20 kwietni","Namibia","South African Airways","228","Boeing 707-300","ZS-EUW",123,"5",""
"6","1968-05-03","Stany Zjednoczone","Braniff","352","Lockheed L-188 Electra","N9707C",85,"0",""
"7","1968-05-22","Stany Zjednoczone","Los Angeles Airways","841","Sikorsky SH-3 Sea King","N303Y",23,"0",""
"8","1968-07-01","ZSRR","Seaboard World Airlines","253A","McDonnell Douglas DC-8","N8631",0,"238",""
"9","1968-07-03","Stany Zjednoczone","BKS Air Transport","?","Airspeed Ambassador","G-AMAD",6,"2",""
"10","1968-08-14","Stany Zjednoczone","Los Angeles Airways","417","Sikorsky SH-3 Sea King","N300Y",21,"0",""
"11","1968-09-11","Francja","Air France","1611","Sud Aviation Caravelle","F-BOHB",95,"0","osobny artykul"
"12","1968-10-25","Stany Zjednoczone","Northeast Airlines","946","Fokker F27","N380NE",32,"?",""
"13","1968-11-22","Stany Zjednoczone","Japan Airlines","2","McDonnell Douglas DC-8","JA8032",0,"107",""
"14","1968-12-02","Stany Zjednoczone","Wien Consolidated Airlines","55","Fokker F27","N4905",39,"0",""
"15","1968-12-12","Wenezuela","Pan Am","217","Boeing 707-321B","N494PA",51,"0","osobny artykul"
"16","31 grudnia","Australia","MacRobertson Miller Airlines","1750","Vickers Viscount","VH-RMQ",26,"0",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1969-01-05","Wielka Brytania","Ariana Afghan Airlines","701","Boeing 727-100C","YA-FAR","50","12",""
"2","1969-01-18","Stany Zjednoczone","United Airlines","266","Boeing 727-22C","N7434U","38","0",""
"3","1969-01-24","Polska","Polskie Linie Lotnicze LOT","149","Antonow An-24","SP-LTE","0","48","osobny artykul"
"4","1969-02-18","Stany Zjednoczone","Hawthorne Nevada Airlines","708","McDonnell Douglas DC-3","N15570","35","0",""
"5","1969-02-24","Tajwan","Far Eastern Air Transport","104","Handley Page Dart Herald","B-2009","36","0",""
"6","1969-03-16","Wenezuela","Viasa","742","McDonnell Douglas DC-9","YV-C-AVD","155","0","osobny artykul"
"7","1969-04-02","Polska","Polskie Linie Lotnicze LOT","165","Antonow An-24","SP-LTF","53","0","osobny artykul"
"8","1969-04-28","Chile","LAN Airlines","160","Boeing 727","CC-CAQ","0","60",""
"9","1969-07-26","Stany Zjednoczone","TWA","5787","Boieng 707","?","?","?",""
"10","1969-08-29","Stany Zjednoczone","TWA","840","Boeing 707","N776TW","0","127",""
"11","1969-09-09","Stany Zjednoczone","Allegheny Airlines","853","McDonnell Douglas DC-9","N988VJ","83","0",""
"12","1969-09-12","Filipiny","Philippine Airlines","158","BAC One-Eleven","PI-C1131","45","2",""
"13","1969-11-19","Stany Zjednoczone","Mohawk Airlines","411","Fokker F27","N7811M","14","0",""
"14","1969-12-11","Korea Poludniowa","Korean Air","?","NAMC YS-11","HL-5208","11","40",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","13 styczni","Samoa","Polynesian Airlines","308B","McDonnell Douglas DC-3","5W-FAC",32,0,""
"2","4 lutego","Argentyna","Aerolíneas Argentinas","707","Hawker Siddeley HS 748","LV-HGW",37,0,""
"3","1970-02-06","ZSRR","Aeroflot","U-45","Il-18","CCCP-75798",92,14,""
"4","12 lutego","Chile","Aero Aysen","?","McDonnell Douglas DC-3","CC-CBT",2,0,""
"5","1970-02-15","Dominikana","Dominicana de Aviación","?","McDonnell Douglas DC-9","HI-177",102,0,""
"6","1970-02-21","Szwajcaria","Swissair","330","Convair CV-990","HB-ICD",47,0,"osobny artykul"
"7","17 marca","Stany Zjednoczone","Eastern Air Lines Shuttle","1320","McDonnell Douglas DC-9","N8925E",1,72,""
"8","1970-03-31","Japonia","Japan Airlines","351","Boeing 727-89","JA8315",0,138,""
"9","1 kwietnia","ZSRR","Aeroflot","1661","Antonow An-24","CCCP-47751",45,0,""
"10","1970-04-21","Filipiny","Philippine Airlines","215","Hawker Siddeley HS 748","N935F",23,40,""
"11","1970-05-02","Stany Zjednoczone","ALM","980","McDonnell Douglas DC-9","?",23,17,""
"12","3 lipca","Hiszpania","Dan-Air London","1903","De Havilland Comet","G-APDN",112,0,""
"13","1970-07-05","Kanada","Air Canada","621","McDonnell Douglas DC-8","CF-TIW",109,0,"osobny artykul"
"14","1970-08-09","Peru","LANSA","502","Lockheed Electra","OB-R-939",101,1,""
"15","1970-08-12","Tajwan","China Airlines","206","NAMC YS-11","B-156",14,17,""
"16","1970-09-06","Wielka Brytania","El Al","219","Boeing 707–300","4X-ATB",0,148,""
"17","1970-09-06","Belgia","Pan Am","93","Boeing 707–300","N8715T",0,154,""
"18","1970-09-06","Francja","Swissair","100","McDonnell Douglas DC-8","HB-IDD",0,154,""
"19","1970-09-06","Wielka Brytania","TWA","741","Boeing 747–100","N752PA",0,154,""
"20","1970-09-09","Bahrajn","BOAC","775","Vickers VC-10","G-ASGN",0,114,""
"21","1970-10-02","Stany Zjednoczone","Golden Eagle Aviation","?","Martin 4-0-4","N464M",31,9,""
"22","15 pazdzie","Gruzja","Aeroflot","244","Antonow An-24","CCCP-46256",1,49,""
"23","1970-11-14","Stany Zjednoczone","Southern Airways","932","McDonnell Douglas DC-9","N97S",75,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","31 marca","ZSRR","Aeroflot",1969,"Antonow An-10","CCCP-11145",65,"0",""
"2","23 maja","Jugoslawia","Aviogenex",130,"Tupolew Tu-134","YU-AHZ",78,"5",""
"3","1971-06-06","Stany Zjednoczone","Hughes Airwest",706,"McDonnell Douglas DC-9","N9345",50,"1",""
"4","7 czerwca","Stany Zjednoczone","Allegheny Airlines",485,"Convair CV-580","N5832",28,"3",""
"5","1971-07-03","Japonia","Toa Domestic Airlines",533,"NAMC YS-11","JA8764",68,"0","osobny artykul"
"6","25 lipca","ZSRR","Aeroflot",1912,"Tupolew Tu-104","CCCP-42405",97,"29",""
"7","1971-07-30","Japonia","All Nippon Airways",58,"Boeing 727-200","JA8329",162,"1",""
"8","1971-07-30","Stany Zjednoczone","Pan Am",845,"Boeing 747-100","N747PA",0,"218",""
"9","1971-09-04","Stany Zjednoczone","Alaska Airlines",1866,"Boeing 727-100","N2969G",111,"0","osobny artykul"
"10","6 wrzesnia","Niemcy","Paninternational",112,"BAC 1-11","D-ALAR",22,"99","osobny artykul"
"11","2 pazdzier","Belgia","British European Airways",706,"Vickers Vanguard","G-APEC",63,"0",""
"12","1971-11-24","Stany Zjednoczone","Northwest Orient Airlines",305,"Boeing 727-100","?",0,"?",""
"13","1 grudnia","ZSRR","Aeroflot",2174,"Antonow An-24","CCCP-46788",57,"0",""
"14","1971-12-24","Peru","LANSA",508,"Lockheed Electra","OB-R-941",91,"1","osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1972-01-26","Czechoslowacja","JAT Yugoslav Airlines","367","McDonnell Douglas DC-9","YU-AHT",27,1,"osobny artykul"
"2","1972-03-03","Stany Zjednoczone","Mohawk Airlines","405","Fairchild Hiller","N7818M",17,32,""
"3","1972-03-14","Zjednoczone Emiraty Arabskie","Sterling Airways","296","Sud Aviation Caravelle","OY-STL",112,0,"osobny artykul"
"4","1972-03-19","Jemen","EgyptAir","763","McDonnell Douglas DC-9","YU-AHR",30,0,""
"5","1972-05-05","Wlochy","Alitalia","112","McDonnell Douglas DC-8","I-DIWB",115,0,""
"6","1972-05-18","Stany Zjednoczone","Eastern Air Lines","346","McDonnell Douglas DC-9","N8961E",0,10,""
"7","18 maja","ZSRR","Aeroflot","1491","Antonow An-10","CCCP-11215",122,0,"osobny artykul"
"8","1972-06-12","Stany Zjednoczone","American Airlines","96","McDonnell Douglas DC-10","N103AA",0,67,""
"9","1972-06-15","Wietnam","Cathay Pacific","700Z","Convair 880","VR-HFZ",81,0,""
"10","1972-06-18","Wielka Brytania","British European Airways","548","Hawker Siddeley Trident","G-ARPI",118,0,"osobny artykul"
"11","1972-06-24","Portoryko","Prinair","191","De Havilland Heron","N554PR",5,15,""
"12","1972-08-14","NRD","Interflug","DM-SEA","Il-62","DM-SEA",156,0,"osobny artykul"
"13","31 sierpni","ZSRR","Aeroflot","558","Il-18","CCCP-74298",102,0,""
"14","1972-09-24","Indie","Japan Airlines","472","McDonnell Douglas DC-8","JA8013",0,122,""
"15","1 pazdzier","ZSRR","Aeroflot","1036","Il-18","CCCP-75507",109,0,""
"16","13 pazdzie","ZSRR","Aeroflot","217","Il-62","CCCP-86671",174,0,""
"17","1972-11-28","Filipiny","Philippine Airlines","463","Hawker Siddeley HS 748","PI-C1027",0,28,""
"18","1972-12-08","Stany Zjednoczone","United Airlines","553","Boeing 737-200","N9031U",45,18,""
"19","1972-12-08","Pakistan","PIA","631","Fokker F-27","AP-AUS",26,0,""
"20","1972-12-23","Norwegia","Braathens SAFE","239","Fokker F-28","LN-SUY",40,5,""
"21","1972-12-29","Stany Zjednoczone","Eastern Air Lines","401","Lockheed L-1011","N310EA",101,75,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","29 styczni","Cypr","EgyptAir","741","Il-18","?",37,0,""
"2","19 lutego","Czechoslowacja","Aeroflot","141","Tu-154","CCCP-85023",66,34,""
"3","1973-02-21","Egipt","Libyan Arab Airlines","114","Boeing 727-224","5A-DAH",108,5,""
"4","24 lutego","ZSRR","Aeroflot","630","Il-18","CCCP-75712",79,0,""
"5","3 marca","ZSRR","Balkan Bulgarian Airlines","307","Il-18","LZ-BEM",25,0,""
"6","1973-04-10","Szwajcaria","Invicta International Airlines","435","Vickers Vanguard","G-AXOP",108,37,""
"7","11 maja","ZSRR","Aeroflot","6551","Il-18","<U+0421><U+0421><U+0421><U+0420>-75687",63,0,""
"8","18 maja","ZSRR","Aeroflot","109","Tu-104","<U+0421><U+0421><U+0421><U+0420>-42379",81,0,""
"9","31 maja","Indie","Indian Airlines","440","Boeing 737-200","VT-EAM",48,17,""
"10","3 czerwca","Francja","Aeroflot","–","Tu-144","CCCP-77102",14,0,""
"11","20 czerwca","Meksyk","Aeroméxico","229","McDonnell Douglas DC-9","XA-SOC",27,0,""
"12","1973-07-11","Francja","Varig","820","Boeing 707-345C","PP-VJZ",123,11,"osobny artykul"
"13","1973-07-22","Polinezja Francuska","Pan Am","816","Boeing 707-321B","N417PA",78,1,"osobny artykul"
"14","1973-07-23","Holandia","Japan Airlines","404","Boeing 747-246B","JA8109",0,145,""
"15","23 lipca","Stany Zjednoczone","Ozark Air Lines","809","Fairchild Hiller","N4215",38,6,""
"16","1973-07-31","Stany Zjednoczone","Delta Air Lines","723","McDonnell Douglas DC-9","N975NE",89,0,"osobny artykul"
"17","1973-08-13","Hiszpania","Aviaco","118","Sud Aviation Caravelle","EC-BIC",86,1,""
"18","18 sierpni","ZSRR","Aeroflot","13","An-24","CCCP-46435",56,8,""
"19","8 wrzesnia","Stany Zjednoczone","World Airways","802","McDonnell Douglas DC-8","N802WA",6,0,""
"20","1973-09-11","Jugoslawia","JAT Yugoslav Airlines","769","Sud Aviation Caravelle","YU-AHD",41,0,""
"21","1973-09-27","Stany Zjednoczone","Texas International Airlines","655","Convair CV-660","N94230",11,0,""
"22","30 wrzesni","ZSRR","Aeroflot","3932","Tu-104","CCCP-42506",108,0,""
"23","13 pazdzie","ZSRR","Aeroflot","964","Tu-104","CCCP-42486",122,0,""
"24","3 listopad","Stany Zjednoczone","National Airlines","27","McDonnell Douglas DC-10","N60NA",1,127,""
"25","25 listopa","Zjednoczone Emiraty Arabskie","KLM","861","Boeing 747-200","PH-BUA",0,264,""
"26","16 grudnia","ZSRR","Aeroflot","2022","Tu-124","CCCP-45061",51,0,""
"27","1973-12-17","Wlochy","Pan Am","110","Boeing 707-300","N407PA",30,137,""
"28","17 grudnia","Stany Zjednoczone","Iberia","933","McDonnell Douglas DC-10","EC-CBN",0,168,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","6 stycznia","Stany Zjednoczone","Commonwealth Commuter","317","Beechcraft 99","N125AE",12,5,""
"2","1974-01-26","Turcja","Turkish Airlines","301","Fokker F28","TC-JAO",66,7,""
"3","1974-01-30","Samoa Amerykanskie","Pan Am","806","Boeing 707-321B","N454PA",97,4,""
"4","1974-03-03","Francja","Turkish Airlines","981","McDonnell Douglas DC-10","TC-JAV",346,0,"osobny artykul"
"5","15 marca","Iran","Sterling Airways","–","Sud Aviation Caravelle","OY-STK",15,81,""
"6","1974-04-22","Indonezja","Pan Am","812","Boeing 707-321B","N446PA",107,0,""
"7","1974-09-08","Grecja","TWA","841","Boeing 707-300","N8734",88,0,""
"8","1974-09-11","Stany Zjednoczone","Eastern Air Lines","212","McDonnell Douglas DC-9","N8984E",72,10,""
"9","1974-09-15","Wietnam","Air Vietnam","706","Boeing 727-121C","XV-NJC",75,0,""
"10","1974-11-20","Kenia","Lufthansa","540","Boeing 747-130","D-ABYB",59,98,""
"11","1974-12-01","Stany Zjednoczone","TWA","514","Boeing 727-231","N54328",92,0,""
"12","1 grudnia","Stany Zjednoczone","Northwest Orient Airlines","6231","Boeing 727-251","N274US",3,0,""
"13","1974-12-04","Sri Lanka","Martinair","138","McDonnell Douglas DC-8","PH-MBH",191,0,"osobny artykul"
"14","22 grudnia","Wenezuela","Avensa","358","McDonnell Douglas DC-9","YV-C-AVM",75,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1975-01-09","Stany Zjednoczone","Golden West Airlines","261","DHC-6 Twin Otter","N6383",14,0,NA
"2","1975-01-30","Turcja","Turkish Airlines","345","Fokker F28","TC-JAP",42,0,NA
"3","1975-03-31","Stany Zjednoczone","Western Airlines","470","Boeing 737-200","N4527W",0,99,NA
"4","1975-06-24","Stany Zjednoczone","Eastern Air Lines","66","Boeing 727-200","N8845E",113,12,NA
"5","1975-08-03","Maroko","Royal Jordanian","?","Boeing 707-321B","JY-AEE",188,0,NA
"6","1975-08-20","Syria","Ceské aerolinie","540","Il-62","0K-DBF",126,2,NA
"7","1975-08-30","Stany Zjednoczone","Wien Air Alaska","99","Fokker F27","N4904",10,22,NA
"8","24 wrzesni","Indonezja","Garuda Indonesia","150","Fokker F28","PK-GVC",26,36,NA
"9","1975-09-30","Liban","Malév","240","Tu-154","HA-LCI",60,0,NA
"10","30 pazdzie","Czechoslowacja","Adria Airways","450","McDonnell Douglas DC-9","YU-AJO",75,45,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1976-01-01","Arabia Saudyjska","Middle East Airlines","438","Boeing 720","OD-AFT","81",0,"osobny artykul"
"2","3 stycznia","ZSRR","Aeroflot","2003","Tu-124","CCCP-45037","62",0,"osobny artykul"
"3","5 stycznia","Filipiny","Japan Airlines","768","McDonnell Douglas DC-8","?","0",223,""
"4","9 lutego","ZSRR","Aeroflot","3739","Tu-104","CCCP-42327","24",91,""
"5","6 marca","ZSRR","Aeroflot","909","Il-18","CCCP-75408","111",0,"osobny artykul"
"6","1976-04-27","Stany Zjednoczone","American Airlines","625","Boeing 727-95","N1963","37",51,""
"7","15 maja","ZSRR","Aeroflot","1802","An-24","CCCP-46534","52",0,""
"8","23 maja","Filipiny","Philippine Airlines","116","BAC One-Eleven","RP-C1161","13",74,""
"9","1 czerwca","Gwinea Równikowa","Aeroflot","418","Tu-154","CCCP-85102","46",0,""
"10","4 czerwca","Guam","Manila Air International","702","Lockheed L-188 Electra","RP-C1061","46",0,""
"11","1976-06-27","Grecja","Air France","139","Airbus A300","F-BVGG","4",256,""
"12","1976-07-28","Czechoslowacja","Czech Airlines","001","Il-18","OK-NAB","76",3,""
"13","1976-08-15","Ekwador","SAETA","232","Vickers Viscount","HC-ARS","59",0,""
"14","4 wrzesnia","Cypr","KLM","366","McDonnell Douglas DC-9","PH-DNM","0",84,""
"15","4 wrzesnia","Kanada","Austin Airways","–","De Havilland DHC-3 Otter","CF-MIT","10",0,""
"16","9 wrzesnia","ZSRR","Aeroflot","31","Jak-40","CCCP-87772","64",0,""
"17","9 wrzesnia","ZSRR","Aeroflot","7957","An-24","CCCP-46518","64",0,""
"18","1976-09-10","Jugoslawia","British Airways","476","Hawker Siddeley Trident","G-AWZT","63 (176)",0,"osobny artykul"
"19","1976-09-10","Jugoslawia","Adria Airways","550","McDonnell Douglas DC-9","YU-AJR","113 (176)",0,"osobny artykul"
"20","1976-09-10","Stany Zjednoczone","TWA","355","Boeing 727","?","0",41,""
"21","1976-09-19","Turcja","Turkish Airlines","452","Boeing 727-2F2","TC-JBH","154",0,"osobny artykul"
"22","1976-10-06","Barbados","Cubana de Aviación","455","McDonnell Douglas DC-8","CU-T1201","73",0,""
"23","12 pazdzie","Indie","Indian Airlines","171","Sud Aviation Caravelle","VT-DWN","95",0,"osobny artykul"
"24","25 grudnia","Tajlandia","EgyptAir","864","Boeing 707-300","SU-AXA","71",0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1977-01-15","Szwecja","Skyline Sweden","618","Vickers Viscount","SE-FOZ","22","0",""
"2","1977-03-27","Hiszpania","KLM","4805","Boeing 747-200","PH-BUF","248 (583)","0 (61)","osobny artykul"
"3","1977-03-27","Hiszpania","Pan Am","1736","Boeing 747-100","N736PA","335 (583)","61 (61)","osobny artykul"
"4","1977-04-04","Stany Zjednoczone","Southern Airways","242","McDonnell Douglas DC-9","N1335U","72","22","osobny artykul"
"5","1977-04-27","Gwatemala","Aviateca","?","Convair","TG-ACA","28","0",""
"6","1977-05-14","Zambia","Dan-Air","?","Boeing 707-300C","G-BEBP","6","0",""
"7","1977-05-27","Kuba","Aeroflot","331","Il-62","CCCP-86614","69","2",""
"8","1977-09-28","Bangladesz","Japan Airlines","472","McDonnell Douglas DC-8","?","0","156",""
"9","1977-10-13","Francja","Lufthansa","181","Boeing 737-230C","D-ABCE","4","86","osobny artykul"
"10","1977-11-19","Portugalia","TAP Portugal","425","Boeing 727-200","CS-TBR","131","33","osobny artykul"
"11","1977-12-04","Malezja","Malaysia Airlines","653","Boeing 737-200","9M-MBD","100","0",""
"12","1977-12-17","Stany Zjednoczone","United Airlines","2860","McDonnell Douglas DC-8","N8047U","3","0",""
"13","1977-12-18","Portugalia","SA de Transport Aérien","730","Sud Aviation Caravelle","HB-ICK","36","21",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1978-01-01","Indie","Air India","855","Boeing 747-200B","VT-EBD",213,0,"osobny artykul"
"2","1978-02-11","Kanada","Pacific Western Airlines","314","Boeing 737-200","C-FPWC",46,7,""
"3","1978-03-16","Bulgaria","Balkan Bulgarian Airlines","?","Tu-134","LZ-TUB",73,0,"osobny artykul"
"4","1978-04-20","ZSRR","Korean Air","902","Boeing 707-300B","HL7429",2,107,""
"5","1978-05-08","Stany Zjednoczone","National Airlines","193","Boeing 727-200","N4744",3,55,""
"6","1978-06-26","Kanada","Air Canada","189","McDonnell Douglas DC-9","C-FTLV",2,105,""
"7","1978-09-03","Zimbabwe","Air Rhodesia","RH825","Vickers Viscount","VP-WAS",48,8,""
"8","1978-09-25","Stany Zjednoczone","Pacific Southwest Airlines","182","Boeing 727-200","N533PS",144,9,"osobny artykul"
"9","1978-11-15","Sri Lanka","Icelandic Airlines","LL 001","Douglas DC-8","TF-FLA",183,79,""
"10","1978-12-23","Wlochy","Alitalia","4128","McDonnell Douglas DC-9","I-DIKQ",108,21,"osobny artykul"
"11","1978-12-28","Stany Zjednoczone","United Airlines","173","Douglas DC-8","N8082U",10,179,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1979-01-30","Japonia","Varig","?","Boeing 707-300C","PP-VLU",6,0,""
"2","1979-02-12","Zimbabwe","Air Rhodesia","RH827","Vickers Viscount","VP-YND",59,0,""
"3","1979-03-17","ZSRR","Aeroflot","1691","Tu-104","CCCP-424444",58,61,"osobny artykul"
"4","1979-04-04","Stany Zjednoczone","TWA","841","Boeing 727-31","N840TW",0,89,""
"5","1979-05-25","Stany Zjednoczone","American Airlines","191","McDonnell Douglas DC-10","N110AA",273,0,"osobny artykul"
"6","1979-06-17","Stany Zjednoczone","Air New England","248","DHC-6 Twin Otter","N383EX",1,9,""
"7","1979-07-11","Indonezja","Garuda Indonesia","?","Fokker F28","PK-GVE",61,0,""
"8","1979-07-31","Wielka Brytania","Dan-Air","0034","Hawker Siddeley HS 748","G-BEKF",17,30,""
"9","1979-08-11","ZSRR","Aeroflot","?","Tu-134","<U+0421><U+0421><U+0421><U+0420>-65816",94,0,"osobny artykul"
"10","1979-08-11","ZSRR","Aeroflot","?","Tu-134","<U+0421><U+0421><U+0421><U+0420>-65735",84,0,"osobny artykul"
